BAD,LOAN,MORTDUE,VALUE,REASON,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Other,Office,Sales,Mgr,ProfExe,Self
1,1100,25860,39025,1,10.5,0,0,94.36666667,1,9,,1,0,0,0,0,0
1,1300,70053,68400,1,7,0,2,121.8333333,0,14,,1,0,0,0,0,0
1,1500,13500,16700,1,4,0,0,149.4666667,1,10,,1,0,0,0,0,0
1,1500,,,,,,,,,,,,,,,,
0,1700,97800,112000,1,3,0,0,93.33333333,0,14,,0,1,0,0,0,0
1,1700,30548,40320,1,9,0,0,101.4660019,1,8,37.11361356,1,0,0,0,0,0
1,1800,48649,57037,1,5,3,2,77.1,1,17,,1,0,0,0,0,0
1,1800,28502,43034,1,11,0,0,88.76602988,0,8,36.88489409,1,0,0,0,0,0
1,2000,32700,46740,1,3,0,2,216.9333333,1,12,,1,0,0,0,0,0
1,2000,,62250,1,16,0,0,115.8,0,13,,0,0,1,0,0,0
1,2000,22608,,,18,,,,,,,,,,,,
1,2000,20627,29800,1,11,0,1,122.5333333,1,9,,0,1,0,0,0,0
1,2000,45000,55000,1,3,0,0,86.06666667,2,25,,1,0,0,0,0,0
0,2000,64536,87400,,2.5,0,0,147.1333333,0,24,,0,0,0,1,0,0
1,2100,71000,83850,1,8,0,1,123,0,16,,1,0,0,0,0,0
1,2200,24280,34687,1,,0,1,300.8666667,0,8,,1,0,0,0,0,0
1,2200,90957,102600,1,7,2,6,122.9,1,22,,0,0,0,1,0,0
1,2200,23030,,,19,,,,,,3.7113123,,,,,,
1,2300,28192,40150,1,4.5,0,0,54.6,1,16,,1,0,0,0,0,0
0,2300,102370,120953,1,2,0,0,90.99253347,0,13,31.58850318,0,1,0,0,0,0
1,2300,37626,46200,1,3,0,1,122.2666667,1,14,,1,0,0,0,0,0
1,2400,50000,73395,1,5,1,0,,1,0,,0,0,0,0,1,0
1,2400,28000,40800,1,12,0,0,67.2,2,22,,0,0,0,1,0,0
1,2400,18000,,1,22,,2,121.7333333,0,10,,0,0,0,1,0,0
1,2400,,17180,1,,0,0,14.56666667,3,4,,1,0,0,0,0,0
1,2400,34863,47471,1,12,0,0,70.49108003,1,21,38.26360073,0,0,0,1,0,0
0,2400,98449,117195,1,4,0,0,93.81177486,0,13,29.68182705,0,1,0,0,0,0
1,2500,15000,20200,1,18,0,0,136.0666667,1,19,,,,,,,
1,2500,25116,36350,1,10,1,2,276.9666667,0,9,,1,0,0,0,0,0
0,2500,7229,44516,1,,0,0,208,0,12,,0,0,0,0,0,1
0,2500,71408,78600,1,8,0,0,255.7333333,0,12,,0,0,0,0,1,0
1,2800,50795,63100,1,26,2,15,145.6333333,3,45,,0,0,0,0,0,1
1,2800,4000,60850,1,16,4,0,112.6333333,2,9,,1,0,0,0,0,0
1,2900,78600,113000,0,6,1,0,165.3333333,2,26,,0,0,0,0,1,0
0,2900,103949,112505,1,1,0,0,96.10232967,0,13,30.05113629,0,1,0,0,0,0
0,2900,104373,120702,1,2,0,0,101.5402975,0,13,29.91585903,0,1,0,0,0,0
1,2900,7750,67996,1,16,3,0,122.2046628,2,8,36.211348,1,0,0,0,0,0
1,2900,61962,70915,0,2,0,0,282.8016592,3,37,49.20639579,0,0,0,1,0,0
0,3000,104570,121729,1,2,0,0,85.8843719,0,14,32.05978327,0,1,0,0,0,0
1,3000,7000,20300,1,3,0,0,50.8,5,9,,1,0,0,0,0,0
1,3000,,8800,1,2,0,1,77.76666667,0,3,,1,0,0,0,0,0
1,3000,,33000,1,1,0,1,23.3,1,2,,1,0,0,0,0,0
1,3000,119826,193500,1,8,0,0,130.0333585,0,27,,1,0,0,0,0,0
1,3000,20000,29750,0,2,0,0,187.0666667,0,12,,1,0,0,0,0,0
1,3000,,14500,1,3,0,0,9.3,14,2,,1,0,0,0,0,0
1,3000,,14100,1,1,0,0,104.2,0,19,,1,0,0,0,0,0
1,3000,47000,82700,1,10,0,1,262.1666667,5,26,,0,0,0,0,1,0
1,3000,34542,45900,1,8.5,0,2,62.36666667,0,10,,0,0,0,1,0,0
0,3000,58000,71500,1,10,,2,211.9333333,0,25,,0,0,0,1,0,0
0,3000,47000,56400,1,21,0,0,201.8666667,0,20,,0,1,0,0,0,0
1,3100,39589,36100,1,1.5,0,0,153.1666667,1,14,,1,0,0,0,0,0
0,3100,,70400,,,,,,,,,,,,,,
0,3200,67848,74566,1,10,,1,206.4266021,0,25,40.11567728,0,0,0,1,0,0
1,3200,48603,61000,1,28,0,4,122.0333333,1,25,,0,0,0,0,1,0
1,3200,27200,40834,1,,0,0,298.131564,0,7,35.55353879,1,0,0,0,0,0
1,3200,54000,64850,1,1,0,0,121.8666667,3,21,,1,0,0,0,0,0
0,3200,74864,87266,1,7,0,0,250.6312692,0,12,42.90999735,0,0,0,0,1,0
1,3200,23159,,1,20,,2,117.8057478,0,9,0.524499215,0,0,0,1,0,0
